text	dimension	label_text	label	paradigmatic
In seiner Tiefe befand sich ein mit dünnem blassen Stoffe bedeckter Diwan.	None	None	0	0
Zur Rechten gewahrte man ein verhängtes Büchergestell, auf dessen Höhe Kerzen in Armleuchtern und	None	None	0	0
 brannten.	None	None	0	0
Zur Linken war ein weiß gedeckter Tisch aufgeschlagen, der ein Kruzifix, einen siebenarmigen Leuchter, einen mit rotem Weine gefüllten Becher und ein Stück Rosinenkuchen auf einem Teller trug.	None	None	0	0
Im Vordergrunde des Alkovens jedoch erhob sich, von einem eisernen Kandelaber noch überragt, auf einem flachen Podium eine vergoldete Gipssäule, deren Kapitäl von einer blutrot-seidenen Altardecke überhangen wurde.	None	None	0	0
Und darauf ruhte ein Stapel beschriebenen Papiers in Folioformat: Daniels Proklamationen.	None	None	0	0
Eine helle, mit kleinen Empirekränzen bedruckte Tapete bedeckte die Mauer und die schrägen Teile der Decke; Totenmasken, Rosenkränze, ein großes, rostiges Schwert hingen an den Wänden; und außer dem großen Napoleonbildnis waren in verschiedenartiger Ausführung die Porträte von Luther, Nietzsche, Moltke, Alexander dem Sechsten, Robespierre und Savonarola im Raume verteilt …  »Dies alles ist erlebt«, sagte Maria Josefa, indem sie die Wirkung der Einrichtung in dem respektvoll verschlossenen Gesicht des Novellisten zu erforschen suchte.	None	None	0	0
Aber unterdessen waren weitere Gäste gekommen, still und feierlich, und man fing an, sich in gemessener Haltung auf Bänken und Stühlen niederzulassen.	None	None	0	0
Es saßen dort jetzt außer den zuerst Gekommenen noch ein phantastischer Zeichner mit greisenhaftem Kindergesicht, eine hinkende Dame, die sich als »Erotikerin« vorstellen zu lassen pflegte, eine unverheiratete junge Mutter von adeliger Herkunft, die von ihrer Familie verstoßen, aber ohne alle geistigen Ansprüche war und einzig und allein auf Grund ihrer Mutterschaft in diesen Kreisen Aufnahme gefunden hatte, eine ältere Schriftstellerin und ein verwachsener Musiker … im ganzen etwa zwölf Personen.	None	None	0	0
Der Novellist hatte sich in die Fensternische zurückgezogen, und Maria Josefa saß dicht neben der Tür auf einem Stuhl, die Hände auf den Knien nebeneinander gelegt.	None	None	0	0
So warteten sie auf den Jünger aus der Schweiz, der im rechten Augenblick zur Stelle sein würde.	None	None	0	0
Plötzlich kam noch die reiche Dame an, die aus Liebhaberei solche Veranstaltungen zu besuchen pflegte.	None	None	0	0
Sie war in ihrem seidenen Kupee aus der Stadt, aus	None	None	0	0
 hierhergekommen, war alle Treppen heraufgestiegen	None	None	0	0
, und lächelte mit ihren Tizian-Augen.	None	None	0	0
Sie kam aus Neugier, aus Langerweile, aus Lust an Gegensätzen, aus gutem Willen zu allem, was ein bißchen außerordentlich war, aus liebenswürdiger Extravaganz, begrüßte Daniels Schwester und den Novellisten, der in ihrem Hause verkehrte, und setzte sich auf die Bank vor der Fensternische zwischen die Erotikerin und den Philosophen mit dem Äußern eines Känguruhs, als ob das in der Ordnung sei.	None	None	0	0
»Fast wäre ich zu spät gekommen«, sagte sie leise mit ihrem schönen, beweglichen Mund zu dem Novellisten, der hinter ihr saß.	None	None	0	0
»Ich hatte Leute zum Tee; das hat sich hingezogen …«  Der Novellist war ganz ergriffen und dankte Gott, daß er in präsentabler Toilette war.	None	None	0	0
Wie schön sie ist!	None	None	0	0
dachte er.	None	None	0	0
Sie ist wert, die Mutter dieser Tochter zu sein …  »Und Fräulein Sonja?« fragte er über ihre Schulter hinweg … »Sie haben Fräulein Sonja nicht mitgebracht?«  Sonja war die Tochter der reichen Dame	None	None	0	0
Er sagte ihren Namen zweimal, weil es ihm einen unbeschreiblichen Genuß bereitete, ihn auszusprechen.	None	None	0	0
»Sonja ist leidend«, sagte die reiche Dame.	None	None	0	0
»Ja, denken Sie, sie hat einen schlimmen Fuß.	None	None	0	0
Oh, nichts, eine Geschwulst, etwas wie eine kleine Entzündung oder Verfüllung.	None	None	0	0
Es ist geschnitten worden.	None	None	0	0
Vielleicht wäre es nicht nötig gewesen, aber sie wollte es selbst.«  »Sie wollte es selbst!« wiederholte der Novellist mit begeisterter Flüsterstimme.	None	None	0	0
»Daran erkenn’ ich sie!	None	None	0	0
Aber wie in aller Welt kann man ihr seine Teilnahme kundgeben?«  »Nun, ich werde sie grüßen«, sagte die reiche Dame.	None	None	0	0
Und da er schwieg: »Genügt Ihnen das nicht?«  »Nein, es genügt mir nicht«, sagte er ganz leise, und da sie seine Bücher schätzte, erwiderte sie lächelnd:  »So schicken Sie ihr ein Blümchen.«  »Danke!« sagte er.	None	None	0	0
»Danke!	None	None	0	0
Das will ich!« Und innerlich dachte er: »Ein Blümchen?	None	None	0	0
Ein Bukett!	None	None	0	0
Einen ganzen Strauß!	None	None	0	0
Ungefrühstückt fahre ich morgen in einer Droschke zum Blumenhändler –!« – Und er fühlte, daß er ein gewisses Verhältnis zum Leben habe.	None	None	0	0
Da ward draußen ein flüchtiges Geräusch laut, die Tür öffnete und schloß sich kurz und ruckhaft, und vor den Gästen stand im Kerzenschein ein untersetzter und stämmiger junger Mann in dunklem Jackenanzug: Der Jünger aus der Schweiz.	None	None	0	0
Er überflog das Gemach mit einem drohenden Blick, ging mit heftigen Schritten zu der Gipssäule vorm Alkoven, stellte sich hinter sie auf das flache Podium mit einem Nachdruck, als wollte er dort einwurzeln, ergriff den zu oberst liegenden Bogen der Handschrift und begann sofort zu lesen.	None	None	0	0
Er war etwa achtundzwanzigjährig, kurzhalsig und häßlich.	None	None	0	0
Sein geschorenes Haar wuchs in Form eines spitzen Winkels sonderbar weit in die ohnedies niedrige und gefurchte Stirn hinein.	None	None	0	0
Sein Gesicht, bartlos, mürrisch und plump, zeigte eine Doggennase, grobe Backenknochen, eine eingefallene Wangenpartie und wulstig hervorspringende Lippen, die nur schwer, widerwillig und gleichsam mit einem schlaffen Zorn die Wörter zu bilden schienen.	None	None	0	0
Dies Gesicht war roh und dennoch bleich.	None	None	0	0
Er stellte ein unheimliches Gemisch von Brutalität und Schwäche dar, und was er las, stimmte auf seltsame Art damit überein.	None	None	0	0
Es waren Predigten, Gleichnisse, Thesen, Gesetze, Visionen, Prophezeiungen und tagesbefehlartige Aufrufe, die in einem Stilgemisch aus Psalter- und Offenbarungston mit militärisch-strategischen sowie philosophisch-kritischen Fachausdrücken in bunter und unabsehbarer Reihe einander folgten.	None	None	0	0
Ein fieberhaftes und furchtbar gereiztes Ich reckte sich im einsamen Größenwahn empor und bedrohte die Welt mit einem Schwall von gewaltsamen Worten.	None	None	0	0
Christus imperator maximus war sein Name, und er warb todbereite Truppen zur Unterwerfung des Erdballs, erließ Botschaften, stellte seine unerbittlichen Bedingungen, Armut und Keuschheit verlangte er, und wiederholte in grenzenlosem Aufruhr mit einer Art widernatürlicher Wollust immer wieder das Gebot des unbedingten Gehorsams.	None	None	0	0
Buddha, Alexander, Napoleon und Jesus wurden als seine demütigen Vorläufer genannt, nicht wert, dem geistlichen Kaiser die Schuhriemen zu lösen …  Der Jünger las eine Stunde;	None	None	0	0
Lästerungen und Hosianna – Weihrauch und Qualm von Blut vermischten sich.	None	None	0	0
In donnernden Schlachten ward die Welt erobert und erlöst …  Es wäre schwer gewesen, die Wirkung von Daniels Proklamationen auf die Zuhörer festzustellen.	None	None	0	0
Einige blickten, weit zurückgelehnten Hauptes, mit erloschenen Augen zur Decke empor; andere hielten, tief über ihre Knie gebeugt, das Gesicht in den Händen vergraben.	None	None	0	0
Die Augen der Erotikerin verschleierten sich jedesmal auf seltsame Art, wenn das Wort »Keuschheit« ertönte und der Philosoph mit dem Äußern eines Känguruhs schrieb dann und wann etwas Ungewisses mit seinem langen und krummen Zeigefinger in die Luft.	None	None	0	0
Der Novellist suchte seit längerer Zeit vergebens nach einer passenden Haltung für seinen schmerzenden Rücken.	None	None	0	0
Um zehn Uhr kam ihm die Vision einer Schinkensemmel, aber er verscheuchte sie mannhaft.	None	None	0	0
Gegen halb elf Uhr sah man, daß der Jünger das letzte Folioblatt in seiner roten und zitternden Rechten hielt.	None	None	0	0
Er war zu Ende.	None	None	0	0
»Soldaten!« schloß er, am äußersten Rande seiner Kraft, mit versagender Donnerstimme: »Ich überliefere euch zur Plünderung – die Welt!« Dann trat er vom Podium herunter, sah alle mit einem drohenden Blick an und ging heftig, wie er gekommen war, zur Tür hinaus.	None	None	0	0
Die Zuhörer verharrten noch eine Minute lang unbeweglich in der Stellung, die sie zuletzt innegehabt hatten.	None	None	0	0
Dann standen sie wie mit einem gemeinsamen Entschlusse auf und gingen unverzüglich, nachdem jeder mit einem leisen Worte Maria Josefas Hand gedrückt hatte, die wieder mit ihrem weißen Fallkragen, still und rein, dicht an der Tür stand.	None	None	0	0
Der stumme Knabe war draußen zur Stelle.	None	None	0	0
Er leuchtete den Gästen in den Garderoberaum, war ihnen beim Anlegen der Überkleider behilflich und führte sie durch das enge Stiegenhaus, in welches aus höchster Höhe, aus Daniels Reich, der bewegte Schein der Kerzen fiel, hinunter zur Haustür, die er aufschloß.	None	None	0	0
Einer nach dem andern traten die Gäste auf die öde Vorstadtstraße hinaus.	None	None	0	0
Das Kupee der reichen Dame hielt vorm Hause; man sah, wie der Kutscher auf dem Bock zwischen den beiden hellstrahlenden Laternen die Hand mit dem Peitschenstiel zum Hute führte.	None	None	0	0
Der Novellist geleitete die reiche Dame zum Schlage.	None	None	0	0
»Wie befinden Sie sich?« fragte er.	None	None	0	0
»Ich äußere mich ungern über solche Dinge«, antwortete sie.	None	None	0	0
»Vielleicht ist er wirklich ein Genie oder doch etwas Ähnliches …«  »Ja, was ist das Genie«, sagte er nachdenklich.	None	None	0	0
»Bei diesem Daniel sind alle Vorbedingungen vorhanden: die Einsamkeit, die Freiheit, die geistige Leidenschaft, die großartige Optik, der Glaube an sich selbst, sogar die Nähe von Verbrechen und Wahnsinn.	None	None	0	0
Was fehlt?	None	None	0	0
Vielleicht das Menschliche?	None	None	0	0
Ein wenig Gefühl, Sehnsucht, Liebe?	None	None	0	0
Aber das ist eine vollständig improvisierte Hypothese …  »Grüßen Sie Sonja«, sagte er, als sie ihm vom Sitze aus zum Abschied die Hand reichte, und dabei las er mit Spannung in ihrer Miene, wie sie es aufnehmen werde, daß er einfach von »Sonja«, nicht von »Fräulein Sonja« oder von »Fräulein Tochter« sprach.	None	None	0	0
Sie schätzte seine Bücher, und so duldete sie es lächelnd.	None	None	0	0
»Ich werde es ausrichten.«  »Danke!« sagte er, und ein Rausch von Hoffnung verwirrte ihn.	None	None	0	0
»Nun will ich zu Abend essen wie ein Wolf!«  Er hatte ein gewisses Verhältnis zum Leben.	None	None	0	0
und als sie todtkrank ward	Gesund-Krank	krank	2	0
der sollte in aller Pracht drei Tage dauern	Natürlich-Kulturell	kulturell	4	0
Aschenputtel.	None	None	0	0
Es war einmal ein reicher Mann, der lebte lange Zeit vergnügt mit seiner Frau, und sie hatten ein einziges Töchterlein zusammen.	None	None	0	0
Da ward die Frau krank,	None	None	0	0
, rief sie ihre Tochter und sagte: »liebes Kind, ich muß dich verlassen, aber wenn ich oben im Himmel bin, will ich auf dich herab sehen, pflanz ein Bäumlein auf mein Grab, und wenn du etwas wünschest, schüttele daran, so sollst du es haben, und wenn du sonst in Noth bist, so will ich dir Hülfe schicken, nur bleib fromm und gut.« Nachdem sie das gesagt, that sie die Augen zu und starb; das Kind aber weinte und pflanzte ein Bäumlein auf das Grab und brauchte kein Wasser hin zu tragen, und es zu begießen, denn es war genug mit seinen Thränen.Der Schnee deckte ein weiß Tüchlein auf der Mutter Grab, und als die Sonne es wieder weggezogen hatte, und das Bäumlein zum zweitenmal grün geworden war, da nahm sich der Mann eine andere Frau.	None	None	0	0
Die Stiefmutter aber hatte schon zwei Töchter, von ihrem ersten Mann, die waren von Angesicht schön, von Herzen aber stolz und hoffährtig und bös.	None	None	0	0
Wie nun die Hochzeit gewesen, und alle drei in das Haus gefahren kamen, da ging schlimme Zeit für das arme Kind an.	None	None	0	0
»Was macht der garstige Unnütz in den Stuben, sagte die Stiefmutter, fort mit ihr in die Küche, wenn sie Brod essen will, muß sies erst verdient haben, sie kann unsere Magd seyn.« Da nahmen ihm die Stiefschwestern die Kleider weg, und zogen ihm einen alten grauen Rock an: »der ist gut für dich!« sagte sie, lachten es aus und führten es in die Küche.	None	None	0	0
Da mußte das arme Kind so schwere Arbeit thun: früh vor Tag aufstehen, Wasser tragen, Feuer anmachen, kochen und waschen und die Stiefschwestern thaten ihm noch alles gebrannte Herzeleid an, spotteten es, schütteten ihm Erbsen und Linsen in die Asche, da mußte es den ganzen Tag sitzen und sie wieder auslesen.	None	None	0	0
Wenn es müd war Abends kam es in kein Bett, sondern mußte sich neben dem Heerd in die Asche legen.	None	None	0	0
Und weil es da immer in Asche und Staub herumwühlte und schmutzig aussah, gaben sie ihm den Namen Aschenputtel.Auf eine Zeit stellte der König einen Ball an,	None	None	0	0
, und sein Sohn, der Prinz, sollte sich eine Gemahlin aussuchen; dazu wurden die zwei stolzen Schwestern auch eingeladen.	None	None	0	0
»Aschenputtel riefen sie, komm herauf, kämme uns die Haare, bürst uns die Schuhe und schnalle sie fest, wir gehen auf den Ball zu dem Prinzen.« Aschenputtel gab sich alle Mühe und putzte sie so gut es konnte, sie gaben ihm aber nur Scheltworte dazwischen, und als sie fertig waren, fragten sie spöttisch: »Aschenputtel, du gingst wohl gern mit auf den Ball?« – »Ach ja, wie kann ich aber hingehen, ich habe keine Kleider.« – »Nein, sagte die älteste, das wär mir recht, daß du dich dort sehen ließest, wir müßten uns schämen, wenn die Leute hörten, daß du unsere Schwester wärest; du gehörst in die Küche, da hast du eine Schüssel voll Linsen, wann wir wieder kommen muß sie gelesen seyn, und hüt dich, daß keine böse darunter ist, sonst hast du nichts Gutes zu erwarten.«Damit gingen sie fort, und Aschenputtel stand und sah ihnen nach, und als es nichts mehr sehen konnte, ging es traurig in die Küche, und schüttete die Linsen auf den Heerd, da war es ein großer, großer Haufen.	None	None	0	0
»Ach, sagte es und seufzte dabei, da muß ich dran lesen bis Mitternacht und darf die Augen nicht zufallen lassen, und wenn sie mir noch so weh thun, wenn das meine Mutter wüßte!« Da kniete es sich vor den Heerd in die Asche und wollte anfangen zu lesen, indem flogen zwei weiße Tauben durchs Fenster und setzten sich neben die Linsen auf den Heerd; sie nickten mit den Köpfchen und sagten: »Aschenputtel, sollen wir dir helfen Linsen lesen?« »Ja, antwortete Aschenputtel:die schlechten ins Kröpfchen,die guten ins Töpfchen.«Und pick, pick!	None	None	0	0
pick, pick!	None	None	0	0
fingen sie an und fraßen die schlechten weg und ließen die guten liegen.	None	None	0	0
Und in einer Viertelstunde waren die Linsen so rein, daß auch nicht eine falsche darunter war, und Aschenputtel konnte sie alle ins Töpfchen streichen.	None	None	0	0
Darauf aber sagten die Tauben: »Aschenputtel, willst du deine Schwestern mit dem Prinzen tanzen sehen, so steig auf den Taubenschlag.« Aschenputtel ging ihnen nach und stieg bis auf den letzten Leitersproß, da konnte es in den Saal sehen, und sah seine Schwestern mit dem Prinzen tanzen, und es flimmerte und glänzte von viel tausend Lichtern vor seinen Augen.	None	None	0	0
Und als es sich satt gesehen, stieg es wieder herab, und es war ihm schwer ums Herz, und legte sich in die Asche und schlief ein.Am andern Morgen kamen die zwei Schwestern in die Küche, und als sie sahen, daß Aschenputtel die Linsen rein gelesen, waren sie böse, denn sie wollten es gern schelten, und da sie das nicht konnten, huben sie an von dem Ball zu erzählen und sagten: »Aschenputtel, das ist eine Lust gewesen, bei dem Tanz, der Prinz, der allerschönste auf der Welt hat uns dazu geführt, und eine von uns wird seine Gemahlin werden.« – »Ja, sagte Aschenputtel, ich habe die Lichter flimmern sehen, das mag recht prächtig gewesen seyn.« – »Ei!	None	None	0	0
wie hast du das angefangen,« fragte die älteste.	None	None	0	0
– »Ich hab' oben auf den Taubenstall gestanden.« – Wie sie das hörte, trieb sie der Neid und sie befahl, daß der Taubenstall gleich sollte niedergerissen werden.Aschenputtel aber mußte sie wieder kämmen und putzen; da sagte die jüngste, die noch ein wenig Mitleid im Herzen hatte: »Aschenputtel, wenns dunkel ist, kannst du hinzugehen und von außen durch die Fenster gucken!« – »Nein, sagte die älteste, das macht sie nur faul, da hast du einen Sack voll Wicken, Aschenputtel, da lese die guten und bösen auseinander und sey fleißig, und wenn du sie morgen nicht rein hast, so schütte ich dir sie in die Asche und du mußt hungern, bis du sie alle herausgesucht hast.«Aschenputtel setzte sich betrübt auf den Heerd und schüttete die Wicken aus.	None	None	0	0
Da flogen die Tauben wieder herein und thaten freundlich: »Aschenputtel, sollen wir dir die Wicken lesen?« »Ja, –die schlechten ins Kröpfchen,die guten ins Töpfchen.«Pick, pick!	None	None	0	0
pick, pick!	None	None	0	0
gings so geschwind, als wären zwölf Hände da.	None	None	0	0
Und als sie fertig waren, sagten die Tauben: »Aschenputtel, willst du auch auf den Ball gehen und tanzen?« – »O du mein Gott, sagte es, wie kann ich in meinen schmutzigen Kleidern hingehen?« – »Geh zu dem Bäumlein auf deiner Mutter Grab, schüttele daran und wünsche dir schöne Kleider, komm aber vor Mitternacht wieder.« – da ging Aschenputtel hinaus, schüttelte das Bäumlein und sprach:»Bäumlein rüttel und schüttel dich,wirf schöne Kleider herab für mich!«Kaum hatte es das ausgesagt, da lag ein prächtig silbern Kleid vor ihm, Perlen, seidene Strümpfe mit silbernen Zwickeln und silberne Pantoffel und was sonst dazu gehörte.	None	None	0	0
Aschenputtel trug alles nach Haus, und als es sich gewaschen und angezogen hatte, da war es so schön wie eine Rose, die der Thau gewaschen hat.	None	None	0	0
Und wie es vor die Hausthüre kam, so stand da ein Wagen mit sechs federgeschmückten Rappen und Bediente dabei in Blau und Silber, die hoben es hinein, und so gings im Gallop zu dem Schloß des Königs.Der Prinz aber sah den Wagen vor dem Thor halten, und meinte eine fremde Prinzessin käme angefahren.	None	None	0	0
Da ging er selbst die Treppe hinab, hob Aschenputtel hinaus und führte es in den Saal.	None	None	0	1
Und als da der Glanz der viel tausend Lichter auf es fiel, da war es so schön, daß jedermann sich darüber verwunderte, und die Schwestern standen auch da und ärgerten sich, daß jemand schöner war wie sie, aber sie dachten nimmermehr, daß das Aschenputtel wäre, das zu Haus in der Asche lag.	None	None	0	0
